Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Anonyme;France;;2 nuits ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 25 septembre 2022;je ne reviendrai pas;1,0;le personnel ! et l ambiance;la chambre la propreté;0;AnonymeFrancenanSeptembre 2022FamilleCommentaire envoyé le 25 septembre 2022je ne reviendrai pas;Santa_Fe
César;Espagne;Chambre Standard Cars - Côté Rivière;4 nuits ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 25 septembre 2022;Para repetir;9,0;;;0;CésarEspagneChambre Standard Cars - Côté RivièreSeptembre 2022FamilleCommentaire envoyé le 25 septembre 2022Para repetir;Santa_Fe
Dmitry;Israël;Chambre Standard Cars - Proche Commodités;3 nuits ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 25 septembre 2022;Great experience;9,0;;;0;DmitryIsraëlChambre Standard Cars - Proche CommoditésSeptembre 2022FamilleCommentaire envoyé le 25 septembre 2022Great experience;Santa_Fe
Katja;Finlande;Chambre Standard Cars - Proche Commodités;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 24 septembre 2022;Bien ;7,0;;;0;KatjaFinlandeChambre Standard Cars - Proche CommoditésSeptembre 2022FamilleCommentaire envoyé le 24 septembre 2022Bien ;Santa_Fe
Mascarell;France;Chambre Standard Cars;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 24 septembre 2022;Très bien;8,0;;;0;MascarellFranceChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 24 septembre 2022Très bien;Santa_Fe
Dascalasu;Suisse;Chambre Standard Cars;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 24 septembre 2022;Bien ;7,0;;;0;DascalasuSuisseChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 24 septembre 2022Bien ;Santa_Fe
Maria;Roumanie;Chambre Standard Cars;3 nuits ·  Septembre 2022;Septembre 2022;Voyageur individuel;Commentaire envoyé le 24 septembre 2022;Exceptionnel;10;;;0;MariaRoumanieChambre Standard CarsSeptembre 2022Voyageur individuelCommentaire envoyé le 24 septembre 2022Exceptionnel;Santa_Fe
Sara;Italie;Chambre Standard Cars - Côté Rivière;2 nuits ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 24 septembre 2022;comodo vicino al parco e personale molto cordiale;10;;;0;SaraItalieChambre Standard Cars - Côté RivièreSeptembre 2022FamilleCommentaire envoyé le 24 septembre 2022comodo vicino al parco e personale molto cordiale;Santa_Fe
Nada;France;Chambre Standard Cars;2 nuits ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 24 septembre 2022;excellent;10;la propriété , le confort , la décoration;le distributeur de boissons chaudes pas assez dans les bâtiments;0;NadaFranceChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 24 septembre 2022excellent;Santa_Fe
Almudena;Espagne;Chambre Standard Cars;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 23 septembre 2022;mis hijos se lo An pasado muy bien y n descansado camas muy cómodas;10;;;0;AlmudenaEspagneChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 23 septembre 2022mis hijos se lo An pasado muy bien y n descansado camas muy cómodas;Santa_Fe
Daniel;Espagne;Chambre Standard Cars;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 23 septembre 2022;Exceptionnel;10;;;0;DanielEspagneChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 23 septembre 2022Exceptionnel;Santa_Fe
Virginia;Espagne;Chambre Standard Cars;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 23 septembre 2022;perfecto para el precio;10;;;0;VirginiaEspagneChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 23 septembre 2022perfecto para el precio;Santa_Fe
Aurora;Espagne;Chambre Standard Cars;3 nuits ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 23 septembre 2022;Très bien;8,0;;;0;AuroraEspagneChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 23 septembre 2022Très bien;Santa_Fe
Catherine;Irlande;Chambre Standard Cars;2 nuits ·  Août 2022;Août 2022;Famille;Commentaire envoyé le 22 septembre 2022;Très bien;8,0;;;0;CatherineIrlandeChambre Standard CarsAoût 2022FamilleCommentaire envoyé le 22 septembre 2022Très bien;Santa_Fe
Shahar;Israël;Chambre Standard Cars - Proche Commodités;2 nuits ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 22 septembre 2022;Satisfy;7,0;;;0;ShaharIsraëlChambre Standard Cars - Proche CommoditésSeptembre 2022FamilleCommentaire envoyé le 22 septembre 2022Satisfy;Santa_Fe
Jennifer;France;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 22 septembre 2022;Fabuleux ;9,0;;;0;JenniferFranceChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 22 septembre 2022Fabuleux ;Santa_Fe
Angelamaria;Italie;Chambre Standard Cars;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 22 septembre 2022;Très bien;8,0;;;0;AngelamariaItalieChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 22 septembre 2022Très bien;Santa_Fe
Emilie;Belgique;Chambre Standard Cars - Proche Commodités;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 21 septembre 2022;Exceptionnel;10;;;0;EmilieBelgiqueChambre Standard Cars - Proche CommoditésSeptembre 2022FamilleCommentaire envoyé le 21 septembre 2022Exceptionnel;Santa_Fe
Annaclaudia;Italie;Chambre Standard Cars;1 nuit ·  Septembre 2022;Septembre 2022;Famille;Commentaire envoyé le 21 septembre 2022;Magia Disney!;10;;;0;AnnaclaudiaItalieChambre Standard CarsSeptembre 2022FamilleCommentaire envoyé le 21 septembre 2022Magia Disney!;Santa_Fe
