Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Stacy;Royaume-Uni;Chambre Standard Woody's Roundup;1;Avril 2022;Famille;Commentaire envoyé le 7 avril 2022;Très bien;8,0;;;0;StacyRoyaume-UniChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 7 avril 2022Très bien;Cheyenne
Tiffany;Belgique;Chambre Standard Woody's Roundup;1;Mars 2022;Famille;Commentaire envoyé le 7 avril 2022;Exceptionnel;10;;;0;TiffanyBelgiqueChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 7 avril 2022Exceptionnel;Cheyenne
Angela;Italie;Chambre Standard Woody's Roundup;1;Avril 2022;Famille;Commentaire envoyé le 7 avril 2022;Très bien;8,0;;;0;AngelaItalieChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 7 avril 2022Très bien;Cheyenne
Lucas;Brésil;Chambre Standard Woody's Roundup;2;Mars 2022;Famille;Commentaire envoyé le 7 avril 2022;Muito bom;9,0;;;1;LucasBrésilChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 7 avril 2022Muito bom;Cheyenne
Stephanie;Belgique;Chambre Standard Woody's Roundup;1;Avril 2022;Famille;Commentaire envoyé le 6 avril 2022;Très bien;8,0;;;0;StephanieBelgiqueChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 6 avril 2022Très bien;Cheyenne
Guillaume;France;Chambre Standard Woody's Roundup;1;Avril 2022;Famille;Commentaire envoyé le 6 avril 2022;Agréable;6,0;;;0;GuillaumeFranceChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 6 avril 2022Agréable;Cheyenne
Pellino;;Chambre Standard Woody's Roundup;3;Mars 2022;Famille;Commentaire envoyé le 6 avril 2022;Exceptionnel;10;;;0;PellinonanChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 6 avril 2022Exceptionnel;Cheyenne
Elisabetta;Italie;Chambre Woody's Roundup à Proximité des Installations;1;Mars 2022;Famille;Commentaire envoyé le 5 avril 2022;Agréable;6,0;;;1;ElisabettaItalieChambre Woody's Roundup à Proximité des InstallationsMars 2022FamilleCommentaire envoyé le 5 avril 2022Agréable;Cheyenne
Jessica;Irlande;Chambre Standard Woody's Roundup;5;Avril 2022;Famille;Commentaire envoyé le 5 avril 2022;Exceptionnel;10;;;0;JessicaIrlandeChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 5 avril 2022Exceptionnel;Cheyenne
Marine;France;Chambre Woody's Roundup à Proximité des Installations;2;Mars 2022;Famille;Commentaire envoyé le 5 avril 2022;Très bien;8,0;"la deco
le restaurant
le personnel";la salle de bain;0;MarineFranceChambre Woody's Roundup à Proximité des InstallationsMars 2022FamilleCommentaire envoyé le 5 avril 2022Très bien;Cheyenne
