Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;hotel
Anonyme;France;;1;Janvier 2022;Famille;Commentaire envoyé le 17 janvier 2022;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;3;Janvier 2022;Famille;Commentaire envoyé le 15 janvier 2022;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Novembre 2021;Couple;Commentaire envoyé le 23 décembre 2021;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Décembre 2021;Famille;Commentaire envoyé le 6 décembre 2021;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;2;Novembre 2021;Famille;Commentaire envoyé le 21 novembre 2021;Passable;5,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Novembre 2021;Famille;Commentaire envoyé le 2 novembre 2021;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Septembre 2021;Couple;Commentaire envoyé le 26 septembre 2021;Médiocre ;2,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Juillet 2021;Couple;Commentaire envoyé le 2 juillet 2021;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Septembre 2020;Famille;Commentaire envoyé le 25 novembre 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Octobre 2020;Couple;Commentaire envoyé le 14 octobre 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Octobre 2020;Couple;Commentaire envoyé le 3 octobre 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Octobre 2020;Couple;Commentaire envoyé le 2 octobre 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Anonyme;France;;2;Octobre 2020;Famille;Commentaire envoyé le 2 octobre 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;2;Septembre 2020;Couple;Commentaire envoyé le 20 septembre 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Février 2020;Famille;Commentaire envoyé le 24 février 2020;Exceptionnel;9,6;;;0;Disney's Newport Bay Club
Anonyme;Maroc;;1;Janvier 2020;Famille;Commentaire envoyé le 20 janvier 2020;Décevant;4,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Décembre 2019;Famille;Commentaire envoyé le 26 décembre 2019;Passable;5,4;;;0;Disney's Newport Bay Club
Jamie;Royaume-Uni;Chambre Supérieure;4;Décembre 2022;Famille;Commentaire envoyé le 3 décembre 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Raneem;Arabie saoudite;Chambre Supérieure - Côté Lac;3;Novembre 2022;Famille;Commentaire envoyé le 1 décembre 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Crawford;Royaume-Uni;Chambre Supérieure;3;Novembre 2022;Famille;Commentaire envoyé le 24 novembre 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Ines;France;Chambre Supérieure;1;Novembre 2022;Famille;Commentaire envoyé le 14 novembre 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
Lucy;Royaume-Uni;Chambre Supérieure;1;Novembre 2022;Famille;Commentaire envoyé le 13 novembre 2022;Très bien;8,0;;;0;Disney's Newport Bay Club
Justin;Royaume-Uni;Chambre Supérieure - Côté Lac;3;Octobre 2022;Famille;Commentaire envoyé le 31 octobre 2022;Bien ;7,0;;;0;Disney's Newport Bay Club
